section,area,category,criteria,indicator,procedure
Security,Build Quality,Product stability ,The software is reliable. ,The software is not susceptible to crashes.,Fuzz software to see if and how it crashes.
Security,Build Quality,Product stability ,The software is reliable. ,The software is not susceptible to crashes.,"Under appropriate fuzz testing, what was the code coverage, number of crashes, and type(s) of crashes."
Security,Build Quality,Product stability ,The software is reliable. ,"If the program is forced to unexpectedly terminate, it shuts down in a safe and responsible fashion.","Are crashes exploitable, or do they simply allow a disruption of service?"
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product supports user accounts, it has an authentication system for accessing those accounts",Start product and note whether users are prompted to authenticate to access account data
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product supports user accounts, it has an authentication system for accessing those accounts",Check if the authentication system is secure enough to safeguard the type of account it is linked to.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product is packaged with an account with default credentials, those credentials are unique to the instance of the product","If the product has default credentials, make note their uniqueness, and watch out for credentials like, ""default"", ""admin"", or ""12345678""."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product is packaged with an account with default credentials, those credentials are unique to the instance of the product","If the product has default credentials, verify whether or not the defaults must be changed during product setup or account creation."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must authenticate each time they want to use the product","Create an account, then navigate away from the service if possible by closing the app, going to a different web page, closing the browser window, powering down the service, etc. Verify when you return to the service that you need to authenticate again."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the user could log out of their account in the mobile app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the user could log out of their account in the web app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the user could log out of their account in the desktop app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the account times out after 10 minutes of inactivity for the mobile app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the account times out after 10 minutes of inactivity for the web app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the account times out after 10 minutes of inactivity for the desktop app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the desktop app has PIN or Fingerprint option to unlock and access the app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, the user must be able to log out.",Check if the mobile app has PIN or Fingerprint option to unlock and access the app.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If a product has an authentication system, it requires at least two pieces of information to authenticate users",Check if the user could choose their own user id along with a password to log into the account.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication.",Create an account and look for settings to enable MFA.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication.","The authentication system should require at least two pieces of information. For more sensitive accounts, 2FA should be required."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication whenever product is activated, or when a device is unrecognized.","During the setup process, check if the user is prompted to set up 2FA."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication whenever product is activated, or when a device is unrecognized.",Check if there is support for multi-factor authentication.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, it requires that passwords are at least 8 characters long","Change password, check if a password which less than 8 characters is not allowed."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, the password/passphrase may be at least 20 characters long","Create an account on the service, and verify that passwords of 20 characters or more are supported. Change the password and verify that passwords longer than 20 characters are supported."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, the password/passphrase may be at least 20 characters long",Create 21+ character password. Attempt to login with only the first 20 characters to determine if the length is actually used or if the password input is truncated.
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, it requires that passwords are reasonably complex","Create an account and make note complexity limitations. Try passwords such as ""aaaaaaaa"" and ""12345678""."
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, it allows all reasonable characters as input","Change password, check if special characters are allowed. (For example check if !, @, #, $, or %is allowed)"
Security,Data Security,Authentication,A product has an authentication system that corresponds to the sensitivity of the user data it manages,"If the product uses a password/passphrase for authentication, it is compatible with popular password managers.",Check for compatibility with one or more popular password managers.
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,The product allows users to be notified via an out-of-band medium when account security settings are changed.,"Change password, MFA settings, or other credentials and check if the service notified the user via email, SMS or push notifications."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,"To change a password/passphrase/pin, a user must enter the previous password/passphrase/pin, or have access to a secondary system that is used to reset it.","Create an account and attempt to change the password/passphrase/pin associated with it. Make note of whether or not users are required to enter old credentials, or look toward their email/phone/etc. to reset them."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,The product notifies users when account security settings have changed.,"Check if the user is notified via email, SMS or push notifications when a security change occurs."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,The product notifies users when account security settings have changed.,"Check if the user is notified via email, SMS or push notifications when a password change is made."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,"If the product has an authentication system, it also has a system to prevent brute-force/dictionary attacks","In the Mobile Application, try wrong password for 10 times rapidly. Check if a captcha is presented or account lockdown happens."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,"If the product has an authentication system, it also has a system to prevent brute-force/dictionary attacks","In the Web Application, try wrong password for 10 times rapidly. Check if a captcha or account lockdown happens."
Security,Data Security,Authentication,A product that has an authentication system resists attempts to break it,"If the product has an authentication system, it also has a system to prevent brute-force/dictionary attacks","In the Desktop Application, try wrong password for 10 times rapidly. Check if a captcha or account lockdown happens."
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted by default.,Investigation and analysis of publicly available documentation to determine what the company clearly discloses.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted by default.,Capture network traffic between the device and the internet and analyze it to check for unencrypted traffic using a tool such as Wireshark.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted by default.,Capture network traffic between the Android application and the internet and analyze it to check for unencrypted traffic using a tool such as Wireshark.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted by default.,Capture network traffic between the desktop application and the internet and analyze it to check for unencrypted traffic using a tool such as Wireshark.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Investigation and analysis of publicly available documentation to determine what the company clearly discloses.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Check web app's url regarding the communication protocol options used by default
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Check web app setting menu / url communication protocol options regarding for https
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,"Check web app setting menu / url regarding the communication protocol options for https. For example checking for expired certificates, etc"
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Capture and inspect the network traffic from the Mobile application to identfy the cryptographic algorithms that are in use. 
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,"Capture the network traffic from the mobile application and detemine the TLS version. Tools such as Wireshark, Microsoft Message Analyzer, etc may be used."
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Capture the network traffic from the desktop application and analyze it to determine the cipher suites. Tools such as Wireshark may be used.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,Transmission of user communications or information is encrypted using unique keys.,Capture the network traffic from the desktop application and detemine the TLS version. Tools such as Wireshark and Microsoft Message Analyzer may be used.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,"Users can secure their content using end-to-end encryption and not impact ""Essential"" features of the IoT device. ",Review company website to determine if they state that their products implement E2E (end-to-end) encryption without impacting essential features of the product.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,End-to-end encryption is enabled by default.,Review company website for evidence or statements that E2E (end-to-end) encryption on their products is enabled by default.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,End-to-end encryption is enabled by default.,Inspect traffic to determine if secure encryption is used.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,User information and communications are encrypted by default when at rest.,Investigation and analysis of publicly available documentation to determine what the company clearly discloses.
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,User information and communications are encrypted by default when at rest.,"Search the file system of the host device for sensitive information such as usernames, passwords, etc. Determine if these files are encrypted."
Security,Data Security,Encryption,Information I provide is encrypted so that it can't be easily read or used by attackers. ,User information and communications are encrypted by default when at rest.,"For a partial and incomplete check, try a password reset. The contents of the password reset can -- in some, but not all cases -- indicate whether or not data are encrypted at rest."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Run pen-test tools against the Web Application. Tools such as W3AF, OWASP ZAP and Burpsuite may be used."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Analyze findings on the mobile application based on the static analysis result. Tools such as MobSF, Frida or Drozer may be used."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Run pen-test tools against the Desktop Application. Tools such as Procmon and Wireshark may be used. 
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Run vulnerability scanners on the device, check for CVEs. Tools such as OpenVAS, Metasploit, Nessus, NMAP, etc may be used."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Search for any applicable disclosed CVE's that may exist on the product. Sites such as cve.mitre.org and cvedetails.com may be used.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Browsers: Identify publicly known vulnerabilities for each browser.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Browsers: Use the original proof of concept code (if known) or devise custom code where necessary, to test the browser for the issue identified in the vulnerability notice."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Browsers: Check if the browser is now protected from the identified vulnerabilities.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Apps: Root/jailbreak the device, configure web proxy and network traffic monitor."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Apps: Launch target app, create accounts, sign-in, launch any activities available from user interface."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Apps: Monitor communication between the application on the device and any backend services.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Apps: Examine file system, database, and logs on the mobile device to determine if sensitive information is stored in a way that could lead to compromise of user data."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Connected Devices: Check if using latest version of software.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Connected Devices: Configure web proxy and network traffic monitor.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Connected Devices: Create account and sign-in to the installed ""out of the box"" applications."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,Connected Devices: Launch any activities available from the user interface.
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Connected Devices: Monitor communication between the applications on the device, the device itself, and any backend services."
Security,Data Security,Known Exploit Resistance,The product is protected from known software vulnerabilities that present a danger from attackers.,The software is secure against known bugs and types of attacks.,"Connected Devices: Examine file system, database, and logs to determine if sensitive information is stored in a way that could lead to compromise of user data."
Security,Data Security,Security Oversight,The company is a responsible caretaker of my data.,The company has systems in place to limit and monitor employee access to user information.,"Check Legally Binding Polices (e.g., Privacy Policy) text and determine if the company has protections in place to limit employee access to user information."
Security,Data Security,Security Oversight,The company is a responsible caretaker of my data.,The company has an internal security team that conducts security audits on the company's products and services.,"Check Legally Binding Polices (e.g., Privacy Policy) text and determine if the company has an internal security team that conducts security audits."
Security,Data Security,Security Oversight,The company is a responsible caretaker of my data.,The company commissions third-party security audits on its products and services.,"Check Legally Binding Polices (e.g., Privacy Policy) text and determine if the company executes third-party security audits."
Security,Data Security,Security Oversight,The company is a responsible caretaker of my data.,The company ensures that third-parties who process data on behalf of the company implement the required technical and organizational measures to protect user data.,Investigation and analysis of publicly available and legally binding documentation to determine what the company clearly discloses.
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",The product life cycle is communicated to the potential owner before purchase.,Check Legally Binding Policies documents to determine if the company provides any details on how long they support the product or provide firmwware updates.
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Software updates are authenticated.,TBD
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Automatic software updates,"In the Mobile Application, check for software/firmware updates in settings menu (or look for Auto Update on the manufacturer's websites)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Automatic software updates,"In the Web Application, check for software/firmware updates in settings menu (or look for Auto Update on the manufacturer's websites). "
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Automatic software updates,"In the Desktop Application, check for software/firmware updates in settings menu (or look for Auto Update on the manufacturer's websites)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Automatic software updates,"In the Built-in Screen, check for software/firmware updates in settings menu (or look for Auto Update on the manufacturer's websites)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Notification of software updates,"In the Mobile Application, check for any software/firmware update notifications (or look for any evidence on the manufacturer's websites that notifications are sent to the user)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Notification of software updates,"In the Web Application, check for any software/firmware update notifications (or look for any evidence on the manufacturer's websites that notifications are sent to the user)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Notification of software updates,"In the Desktop Application, check for any software/firmware update notifications (or look for any evidence on the manufacturer's websites that notifications are sent to the user)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Notification of software updates,"In the Built-in Screen, check for any software/firmware update notifications (or look for any evidence on the manufacturer's websites that notifications are sent to the user)."
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Ease of installation of software updates,"In the Mobile Application, check in the settings menu if the update can be done within one screen of the app without the need for any additional apps or devices. "
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Ease of installation of software updates,"In the Web Application, check in the settings menu if the update can be done within one screen of the app without the need for any additional apps or devices. "
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Ease of installation of software updates,"In the Desktop Application, check in the settings menu if the update can be done within one screen of the app without the need for any additional apps or devices. "
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Ease of installation of software updates,"In the Built-in Screen, check in the settings menu if the update can be done within one screen of the app without the need for any additional apps or devices. "
Security,Data Security,Security Over Time,"The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).",Software can be kept up-to-date for security issues.,Check Legally Binding Policies documents to determine if the company updates the software due to security issues.
Security,Data Security,Vulnerability disclosure program ,The company is willing and able to address reports of vulnerabilities. ,The company has a mechanism (ex: a bug bounty program) through which security researchers can submit vulnerabilities they discover.,"Search vulnerability disclosure program within the company's websites. Also look for evidence of a company's activity or participation on third party sites like bugcrowd, hackerone etc."
Security,Data Security,Vulnerability disclosure program ,The company is willing and able to address reports of vulnerabilities. ,The company discloses the timeframe in which it will review reports of vulnerabilities.,"Search vulnerability disclosure program within the company's main website. Within this text, determine if the company states a timeframe for when they acknowledge and review the reports of vulnerabilties."
Security,Data Security,Vulnerability disclosure program ,The company is willing and able to address reports of vulnerabilities. ,The company commits not to pursue legal action against security researchers.,"Search vulnerability disclosure program within the company's websites. Within this text, determine if the company states that they will not pursue legal action against the security researcher."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control the collection of their information.,"Check Privacy Policy text and determine if it mentions users being able to turn off, limit, or control whether their information is collected. A good example is that the company should state or provide the user with easily accessible data collection privacy controls available through the website, desktop, or mobile app. The controls described in the policy appear to be reasonable, clear, and to provide meaningful protection for the privacy of the user. "
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control the collection of their information.,"In the Mobile Application, check the settings menu and look for any privacy controls (controls for data collection like shutting off the camera/microphone or disabling targeted advertising, if applicable)"
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control the collection of their information.,"In the Web Application, check the settings menu and look for any privacy controls (controls for data collection like shutting off the camera/microphone or disabling targeted advertising, if applicable)"
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control the collection of their information.,"In the Desktop Application, check the settings menu and look for any privacy controls (controls for data collection like shutting off the camera/microphone or disabling targeted advertising, if applicable)"
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control the collection of their information.,"In the Built-in Screen, check the settings menu and look for any privacy controls (controls for data collection like shutting off the camera/microphone or disabling targeted advertising, if applicable)"
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control how their information is used to target advertising.,Check Privacy Policy text and determine if it mentions users being able to turn off or control whether their information is used for targeted advertising.
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control how their information is used to target advertising.,"In the Mobile Application, check the settings menu and look for any option to turn off targeted advertising."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control how their information is used to target advertising.,"In the Web Application, check the settings menu and look for any option to turn off targeted advertising."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control how their information is used to target advertising.,"In the Desktop Application, check the settings menu and look for any option to turn off targeted advertising."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can control how their information is used to target advertising.,"In the Built-in Screen, check the settings menu and look for any option to turn off targeted advertising."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Clear explanation of how users can control whether their information is used for targeted advertising.,Check Privacy Policy text and determine if it mentions users being able to turn off or control whether their information is used for targeted advertising.
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can obtain a copy of their information simply and at no cost.,Check Privacy Policy text and determine if users can request a copy of their information at no cost.
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users are clearly informed about what information they can obtain from the company.,Check Privacy Policy text and determine if users can request a copy of their information and which information they are able to receive.
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can obtain all public-facing and private user information the company holds about them.,"Check Privacy Policy text and determine if users can obtain all public and private information the company holds about them, including information augmented from third party sources."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Users can obtain all public-facing and private user information the company holds about them in a structured data format.,"Check Privacy Policy text and determine if users can request a copy of their public and private information in a structured format, such as json, csv etc."
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Privacy controls exist in the user interface.,Look in the product's user interface to see what privacy controls exist and what the options are. NOTE: The specific controls can vary based on the service or product under test.
Privacy,Access and Control,Data Control,I can see and control everything the company knows about me.,Privacy controls in the user interface are effective.,"If relevant, analyze network traffic to see if privacy controls are effective."
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company only shares information with third parties as is reasonably necessary to deliver service to consumers.,Check Privacy Policy text and determine if the company claims to only share information with third parties as is reasonably necessary to provide (Required/Desired or Necessary) services that benefit the end user.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company only shares information with third parties as is reasonably necessary to deliver service to consumers.,Analyze network traffic to see what third party domains are contacted by the product.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses what user information it shares with whom.,Check Privacy Policy text and determine if the company discloses what user information they share with whom.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses what user information it shares with whom.,Analyze network traffic to see what third party domains are contacted by the product.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses the types of third parties with which it shares user information.,"Check Privacy Policy text and determine if the company discloses the types of third parties (e.g., advertisers, payment processors, etc.) it shares user information with."
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses the names of third parties with which it shares user information.,Check Privacy Policy text and determine if the company discloses the names of third parties it shares user information with.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses the names of third parties with which it shares user information.,Analyze network traffic to see what third party domains are contacted by the product.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,The company clearly discloses whether it shares user information with government or legal authorities.,Check Privacy Policy text and determine if they state whether they will share user information with government or legal authorities.
Privacy,Data Use and Sharing,Data sharing,Data sharing is reasonably scoped and transparent.,Third party domains contacted by the product are named in the privacy policy.,Check Privacy Policy text and find list of third-party domains listed. Cross-reference the list with the traffic analysis of what servers the system communicates with.
Privacy,Data Use and Sharing,Data use,Data usage is consistent with the context of the relationship with the user and is transparent.,The company puts limits on the use of my data that are consistent with the purpose for which the data is collected.,Check Privacy Policy text and determine if the company claims to put limits on the use of users' data that are consistent with the purpose for which the data was collected.
Privacy,Data Use and Sharing,Data use,Data usage is consistent with the context of the relationship with the user and is transparent.,The company explicitly discloses every way in which it uses my data.,Check Privacy Policy text and determine if the company discloses every way in which it uses user data.
Privacy,Data retention,Data retention and deletion,The company retains data only as long as relevant and reasonably necessary to provide service to me.,The company on its own deletes outdated and unnecessary personal information.,Check Privacy Policy text and determine if the company commits to delete outdated and unnecessary user information.
Privacy,Data retention,Data retention and deletion,The company retains data only as long as relevant and reasonably necessary to provide service to me.,"The company on its own deletes outdated and unnecessary user information, or discloses a technically sound method of irreversibly deidentifying data they choose to retain.",Check Privacy Policy text and determine if they list specific retention periods for different types of collected information.
Privacy,Data retention,Data retention and deletion,I can delete the data the company has about me that is not needed to provide the service.,The company provides specific retention periods for different types of information that are reasonably scoped to get rid of outdated and unnecessary user information.,Check Privacy Policy text and determine if they offer controls that allow users to delete data not necessary to the service. Also determine if these controls are easy to find and easy to use.
